"学籍番号","学生氏名","科目番号","科目名 ","単位数","春学期","秋学期","総合評価","科目区分","開講年度","開講区分"
"202312345","最後は 人海戦術","GA14301","図書館概論"," 2.0","-","-","A","B","2023","通常"
"202312345","最後は 人海戦術","GA15331","微分積分A"," 2.0","-","-","A","B","2023","通常"
"202312345","最後は 人海戦術","GA18222","プログラミング入門A"," 2.0","-","-","A","B","2023","通常"
"202312345","最後は 人海戦術","GA18322","プログラミング入門B"," 1.0","-","-","A","B","2023","通常"
"202312345","最後は 人海戦術","GC27801","映像メディア概論"," 2.0","-","-","A","B","2023","通常"
"202312345","最後は 人海戦術","W160511","スポーツの技術を自然科学から考える"," 1.0","-","-","A","C0","2023","通常"
"202312345","最後は 人海戦術","1119102","ファーストイヤーセミナー"," 1.0","-","-","P","C","2023","通常"
"202312345","最後は 人海戦術","1227611","学問への誘い"," 1.0","-","-","F","C","2023","通常"
"202312345","最後は 人海戦術","2133183","基礎体育ニュースポーツ(春)"," 0.5","-","-","A","C","2023","通常"
"202312345","最後は 人海戦術","31HC092","English Reading Skills I"," 1.0","-","-","A","C","2023","通常"
"202312345","最後は 人海戦術","31JC092","English Presentation Skills I"," 1.0","-","-","認","C","2023","通常"
"202312345","最後は 人海戦術","6114101","情報リテラシー(講義)"," 1.0","-","-","A","C","2023","通常"
"202312345","最後は 人海戦術","6425102","情報リテラシー(演習)"," 1.0","-","-","A","C","2023","通常"
"202312345","最後は 人海戦術","8204004","巨大プロジェクトエンジニア入門"," 1.0","-","-","A","C0","2023","通常"
"202312345","最後は 人海戦術","BB05021","法学の最前線"," 1.0","-","-","A","C0","2023","通常"
"202312345","最後は 人海戦術","BC50121","国際学II"," 1.0","-","-","A","C0","2023","通常"
"202312345","最後は 人海戦術","EE69991","地学序説"," 1.0","-","-","A","C0","2023","通常"
"202312345","最後は 人海戦術","FBA1451","数学概論"," 1.0","-","-","P","C0","2023","通常"
"202312345","最後は 人海戦術","FG16051","工学システム概論"," 1.0","-","-","A","C0","2023","通常"
"202312345","最後は 人海戦術","GA12111","知能と情報科学"," 1.0","-","-","A","B","2023","通常"
"202312345","最後は 人海戦術","GA12201","計算と情報科学"," 1.0","-","-","A","B","2023","通常"
"202312345","最後は 人海戦術","GA12401","情報科学概論"," 1.0","-","-","A","B","2023","通常"
"202312345","最後は 人海戦術","GA13401","情報メディア入門"," 1.0","-","-","A","B","2023","通常"
"202312345","最後は 人海戦術","GA14201","知識情報システム概説"," 1.0","-","-","A","B","2023","通常"
"202312345","最後は 人海戦術","GA15131","情報数学A"," 2.0","-","-","D","B","2023","通常"
"202312345","最後は 人海戦術","GA15231","線形代数A"," 2.0","-","-","A","B","2023","通常"
"202312345","最後は 人海戦術","HB21101","医学のための心の科学"," 1.0","-","-","A","C0","2023","通常"
"202312345","最後は 人海戦術","W160531","スポーツの技術を人文社会科学から考える"," 1.0","-","-","A","C0","2023","通常"
"202312345","最後は 人海戦術","YAN1011","情報・プロダクトデザイン概論"," 1.0","-","-","A","C0","2023","通常"
